Account_ID;Customer_ID;Account_Type;Open_Date;Balance
5001;1001;Credit Card;28.04.2026;-$606,55
5002;1002;Checking;1.05.2026;$19.179,20
5003;1003;Credit Card;28.10.2025;-$4.036,06
5004;1003;Savings;14.10.2025;$104.010,25
5005;1004;Credit Card;1.05.2026;-$1.535,18
5006;1004;Checking;1.05.2026;$4.769,72
5007;1004;Savings;29.04.2026;$21.743,09
5008;1005;Savings;27.01.2026;$18.849,43
5009;1005;Checking;1.05.2026;$4.440,63
5010;1006;Credit Card;1.05.2026;-$1.009,36
5011;1007;Checking;7.05.2024;$2.390,37
5012;1008;Checking;1.05.2026;$12.117,40
5013;1008;Savings;1.05.2026;$33.161,70
5014;1009;Savings;4.11.2024;$22.487,05
5015;1010;Credit Card;13.05.2024;-$351,31
5016;1010;Checking;2.01.2024;$2.912,98
5017;1011;Credit Card;11.12.2024;-$4.732,50
5018;1012;Credit Card;25.06.2023;-$130,63
5019;1012;Savings;10.11.2023;$99.556,95
5020;1012;Checking;27.06.2023;$5.939,89
5021;1013;Savings;20.06.2024;$99.965,10
5022;1013;Checking;15.06.2024;$11.353,16
5023;1013;Credit Card;6.10.2024;-$6.562,84
5024;1014;Credit Card;16.11.2025;-$2.203,17
5025;1014;Checking;7.10.2025;$15.555,09
5026;1014;Savings;29.12.2025;$95.497,48
5027;1015;Checking;3.01.2023;$11.433,76
5028;1015;Credit Card;2.01.2023;-$6.078,65
5029;1015;Savings;15.01.2023;$87.018,37
5030;1016;Savings;20.05.2023;$16.160,90
5031;1016;Checking;2.05.2023;$10.256,42
5032;1017;Credit Card;22.09.2024;-$5.125,52
5033;1017;Checking;17.09.2024;$19.887,14
5034;1018;Credit Card;20.08.2023;-$102,54
5035;1018;Savings;29.04.2023;$19.026,73
5036;1018;Checking;3.09.2023;$10.214,27
5037;1019;Savings;1.05.2026;$106.850,50
5038;1019;Credit Card;24.03.2026;-$5.888,91
5039;1020;Checking;18.01.2025;$9.477,05
5040;1020;Credit Card;2.02.2025;-$1.391,57
5041;1021;Checking;25.04.2023;$3.084,98
5042;1022;Checking;1.05.2026;$2.445,37
5043;1022;Credit Card;1.05.2026;-$3.849,09
5044;1023;Checking;7.12.2025;$15.709,23
5045;1023;Credit Card;6.09.2025;-$3.601,86
5046;1024;Checking;1.05.2026;$1.584,58
5047;1025;Checking;17.12.2023;$14.910,41
5048;1025;Credit Card;14.11.2023;-$714,20
5049;1025;Savings;12.01.2024;$62.880,96
5050;1026;Credit Card;6.01.2024;-$263,78
5051;1026;Checking;26.12.2023;$11.272,33
5052;1027;Savings;9.05.2024;$47.971,35
5053;1027;Credit Card;8.07.2024;-$5.099,11
5054;1028;Savings;6.05.2024;$69.593,98
5055;1028;Checking;28.06.2024;$4.148,11
5056;1029;Credit Card;15.04.2025;-$2.382,92
5057;1029;Savings;16.06.2025;$35.818,99
5058;1030;Checking;15.06.2025;$5.086,99
5059;1031;Savings;11.05.2023;$111.631,87
5060;1031;Credit Card;30.09.2023;-$6.741,31
5061;1031;Checking;31.05.2023;$13.071,04
5062;1032;Credit Card;26.12.2025;-$6.301,35
5063;1032;Savings;9.04.2026;$78.659,41
5064;1033;Checking;5.04.2025;$6.682,63
5065;1034;Credit Card;12.07.2024;-$6.555,00
5066;1034;Checking;9.04.2024;$12.254,09
5067;1034;Savings;29.06.2024;$71.806,33
5068;1035;Savings;22.10.2024;$14.658,08
5069;1035;Credit Card;14.08.2024;-$6.863,18
5070;1036;Checking;22.12.2025;$6.026,60
5071;1036;Credit Card;26.01.2026;-$5.032,42
5072;1037;Checking;29.06.2025;$18.155,02
5073;1037;Credit Card;11.08.2025;-$5.973,22
5074;1038;Savings;9.05.2024;$103.772,07
5075;1038;Credit Card;30.04.2024;-$1.501,45
5076;1039;Checking;28.02.2024;$11.970,80
5077;1040;Credit Card;21.05.2023;-$5.457,19
5078;1040;Savings;30.07.2023;$55.023,20
5079;1040;Checking;5.09.2023;$2.891,11
5080;1041;Credit Card;7.08.2023;-$1.498,39
5081;1042;Savings;19.09.2023;$8.235,30
5082;1043;Credit Card;1.03.2023;-$2.854,71
5083;1043;Checking;6.05.2023;$717,71
5084;1044;Credit Card;5.09.2024;-$4.093,54
5085;1044;Checking;10.11.2024;$7.829,83
5086;1045;Checking;1.07.2025;$11.777,77
5087;1046;Checking;30.07.2024;$8.692,17
5088;1046;Savings;5.07.2024;$51.693,86
5089;1047;Credit Card;1.05.2026;-$1.164,99
