Transaction_ID;Account_ID;Transaction_Date;Transaction_Type;Category;Amount
100569;5028;2.01.2023;Debit;Entertainment;$30,16
100560;5028;24.01.2023;Debit;Travel;$146,68
177029;8841;25.01.2023;Debit;Travel;$180,34
164168;8200;6.02.2023;Credit;Salary;$4.374,36
215402;10732;10.02.2023;Debit;Utilities;$318,20
122344;6118;12.02.2023;Debit;Utilities;$14,63
150911;7541;14.02.2023;Debit;Entertainment;$55,52
184055;9203;15.02.2023;Credit;Salary;$5.080,84
109730;5484;16.02.2023;Credit;Salary;$3.888,22
177011;8841;17.02.2023;Debit;Online Shopping;$145,61
100573;5028;17.02.2023;Debit;Travel;$61,85
150910;7541;21.02.2023;Debit;Utilities;$63,87
150291;7508;23.02.2023;Debit;Groceries;$242,23
215391;10732;26.02.2023;Debit;Groceries;$81,92
141804;7090;26.02.2023;Debit;Travel;$96,47
103904;5190;1.03.2023;Debit;Entertainment;$215,51
201775;10071;2.03.2023;Debit;Travel;$101,69
170265;8499;2.03.2023;Deposit;Investment;$3.593,88
118261;5924;4.03.2023;Debit;Entertainment;$196,79
101732;5082;4.03.2023;Debit;Utilities;$216,10
194627;9724;4.03.2023;Debit;Utilities;$323,92
103950;5191;5.03.2023;Credit;Salary;$4.349,34
118631;5944;5.03.2023;Debit;Groceries;$328,60
204656;10215;5.03.2023;Debit;Online Shopping;$51,39
141801;7090;6.03.2023;Debit;Groceries;$180,98
159398;7970;6.03.2023;Debit;Utilities;$137,36
184944;9247;9.03.2023;Debit;Utilities;$198,39
150904;7541;13.03.2023;Debit;Online Shopping;$121,53
175816;8779;13.03.2023;Debit;Entertainment;$289,33
209783;10458;13.03.2023;Debit;Utilities;$32,86
100541;5028;15.03.2023;Debit;Groceries;$137,19
167234;8345;16.03.2023;Deposit;Investment;$1.065,89
184943;9247;16.03.2023;Debit;Groceries;$96,40
193313;9655;17.03.2023;Deposit;Investment;$3.388,81
210975;10515;18.03.2023;Debit;Utilities;$195,62
150295;7508;18.03.2023;Debit;Utilities;$177,43
175811;8779;20.03.2023;Debit;Utilities;$275,71
101725;5082;20.03.2023;Debit;Groceries;$328,13
101726;5082;21.03.2023;Debit;Utilities;$320,80
149232;7456;22.03.2023;Credit;Salary;$3.029,08
175824;8779;23.03.2023;Debit;Entertainment;$22,34
220909;11011;25.03.2023;Debit;Online Shopping;$269,48
109733;5484;26.03.2023;Debit;Groceries;$295,27
197284;9847;26.03.2023;Debit;Utilities;$250,70
106416;5315;26.03.2023;Debit;Utilities;$101,35
167100;8338;27.03.2023;Debit;Entertainment;$126,15
141797;7090;27.03.2023;Debit;Travel;$128,43
107447;5371;27.03.2023;Debit;Groceries;$267,71
117291;5876;28.03.2023;Debit;Utilities;$158,26
